color_missing2,tx id,time,auction,color,color_nan,shirt size,condition
False,c0fbba3d3bf7c420fb359b25f160ffabf2814d1a,9:15 PM,$4.09,Blue,0,S,used
False,60416d2ee7894c972fdeb613ea197c6ecb243293,11:14 PM,$7.51,Teal,0,L,used
False,33b8124244844e4b240f15102cc451031ec3a6b6,10:16 AM,$8.04,Teal,0,S,Used
False,9f6d295bacb41ad1d908e9a4b4cbe416b407abd7,9:55 AM,$15.11,Purple,0,XL,Never Worn
False,e2bdcca41a1ee09dd98673e18ef791af3dc30b4c,10:42 PM,$7.32,Mauv,0,M,Used
False,30123112598ec855f43309147a154886999826ff,8:13 PM,$3.27,Green,0,M,used
False,864ae770f370921e884f4e80f58965cf62244a3a,11:26 PM,$13.09,Khaki,0,XL,used
False,76d0c888bf34a0d76191d1aac76444ede0feea63,2:05 AM,$13.03,Maroon,0,L,used
False,8b71b96465a654b6cc50ece37c357a85afee0d32,12:06 PM,$7.35,Fuscia,0,XS,used
False,7f383c2e909b95f2fbdb3860cf33dddb9b89fcaf,5:08 PM,$18.60,Yellow,0,XL,used
False,0ed8ebd47f3f251b13f76cb0d6e366db7e358f37,9:45 AM,$12.54,Aquamarine,0,L,
False,3f8fa5b2aadfa016eb158bac995446382dac3a81,2:57 PM,$17.68,Goldenrod,0,M,
False,6999d89f93ee244870f901b9e92675287ce95eae,12:26 AM,$6.14,Goldenrod,0,M,used
False,2e49d8c2464a429dbea2c757e5ff21f7485c613b,11:44 PM,$2.44,Khaki,0,S,Used
False,8d239365dd11c35ec618f81da459c54149cba6f8,9:47 AM,$4.98,Yellow,0,2XL,never worn
False,78734f471b204bed4a1436bba677e7d3c40465b8,1:11 AM,$15.96,Puce,0,XL,used
False,fda271c55ceff0c7ab78837d5ce5544a6d191926,1:20 AM,$10.74,Goldenrod,0,M,used
False,7baea5a270f7a6c69fc4ee5cce77e328318bf2de,12:07 PM,$2.73,Turquoise,0,2XL,Never Worn
False,49d81a4c0060b8c981086e0b48d2f16195b9e181,8:07 PM,$13.88,Goldenrod,0,S,Never Worn
False,2b8830f39d3b6b1b0d40722fda9cc909f70f8d19,11:32 AM,$6.90,Red,0,S,used
False,9fd6bb8f73fb6a0b4d047d67faebd231254e42e4,6:46 PM,$2.68,Teal,0,L,
False,6c7b6d58c0b2f475657bbbde4a71e6d67206386d,3:18 AM,$9.48,Puce,0,XL,
False,f8406b68edc11fbc90d851718f63fdc3fb4e8562,9:19 AM,$6.84,Aquamarine,0,S,
False,d613590d86a91c8ba4ec121bc20d8d38090ddb8c,11:41 PM,$3.20,Orange,0,2XL,used
False,47a39f7c3140b55811f3cea0dd52aea1bb8e4b86,5:47 PM,$17.00,Fuscia,0,S,Never Worn
True,9745f3fa048a25678016ea6f86ee7a0f02dfa91a,8:19 AM,$11.71,,1,XS,used
False,34517d8c482a1931ef5305972705dbf5052aa2c6,6:25 AM,$10.54,Blue,0,XL,
False,89c0bd3049caa7693ea4a3d33b04c18f3b302f97,1:06 AM,$3.82,Orange,0,3XL,Used
False,1782d1397e95975eded63803d07d304712271ef0,6:09 PM,$8.66,Fuscia,0,2XL,never worn
False,633c49f0f0d35d862a587ecbf3e8c6d6f983c205,6:03 AM,$4.89,Indigo,0,2XL,Used
False,bc04ad4481b4a0b29931f7ab51da728c5eb4a53e,7:55 PM,$16.25,Aquamarine,0,2XL,used
False,6f35ee634b3493eeca71b84a5d8f9c9d49878732,7:51 AM,$11.20,Crimson,0,XS,Used
False,3e8f9ec1697123597d76f95003818a20793e1121,6:50 AM,$12.95,Yellow,0,M,used
False,77456865edb7b596ee68ece3a9009a4b15090279,2:12 AM,$13.39,Aquamarine,0,S,
False,ec07eac4cf9b35d34cbe259140afff881a1d3ae3,7:15 PM,$6.19,Violet,0,S,used
False,7c591b44c8b993acccf1be3211552fabf338d48d,2:11 AM,$2.20,Orange,0,L,used
False,62d5843e18cd6df3dab18496a61a2ab11f481a53,7:48 AM,$7.94,Mauv,0,S,used
False,b2786c48a8b47c195bf3d55f4632dd6b88d6c121,5:56 AM,$9.25,Fuscia,0,XS,
False,180f058563e57cd31e52e3cc6dcdbfc75426ede4,9:13 PM,$15.61,Mauv,0,XS,used
False,8d96abe66e658dfa82f7513b9a39dbd4e59d4f78,6:42 AM,$17.68,Green,0,3XL,used
False,dbc3ec1af6c52eacfaa883a01d24208e241d3185,9:33 PM,$10.52,Turquoise,0,3XL,used
False,73b16b69a9f4b94fa569e9d75cbdf0ff627c5195,9:47 PM,$14.60,Puce,0,L,used
False,7bcf522a75635bfc91492242c26567d18ec7a69b,8:08 PM,$17.83,Indigo,0,S,Never Worn
False,035a11f292d27ad679867f38661f5962a9f93da2,8:57 AM,$13.89,Red,0,S,Used
False,b3094936b9d89a51554ce53c31235e1f56c02be6,7:27 PM,$6.01,Red,0,2XL,used
False,bd1633d0fc654576e9b55930b91ebad5fc675699,12:15 PM,$12.43,Orange,0,M,used
False,89f735060131db51a020424065ee181210eb2d8b,12:30 PM,$13.41,Pink,0,L,used
False,936aa6a7c6b6213e907716d90a0882e01324d0c2,6:07 AM,$18.04,Aquamarine,0,XS,used
False,4da77d0e95838e7fa768f7e3c8bdcb7c58f0f8ac,12:07 AM,$10.74,Crimson,0,2XL,never worn
False,c3c4b0a543e9eaa457e124c998c6fed5d641a973,10:20 AM,$9.85,Yellow,0,S,used
False,a9b3b134ec656352b97cffaa8e38484da3f5b6a1,9:31 PM,$5.45,Khaki,0,M,Used
False,a099d39f3a71aa1d1831659653d35fad955a95b1,11:44 PM,$6.87,Maroon,0,L,used
False,1fe10d2e03e4c416c43e43bbc4171db7107afa6e,2:33 PM,$3.53,Yellow,0,S,
False,20b7faef23c8d7b89215e671f12474bf930f98f7,1:18 AM,$4.31,Aquamarine,0,XS,Never Worn
False,52c057a807e4e48593fbe45eae87c7934137f92d,4:29 PM,$11.49,Orange,0,S,used
False,abce8ee607cedfd847f73664698c57bdb730cb88,12:42 PM,$7.42,Yellow,0,XS,used
False,b34f2e4f7dee4837c3d535d9231eabea53f44e0a,10:08 AM,$4.65,Turquoise,0,2XL,Never Worn
False,6a1bf875202ffed4845375ff6063bef16ad6c2c5,9:05 AM,$16.95,Indigo,0,M,used
False,ea36bd17eefc19c843ddf43f0824fe132dc2d260,11:02 PM,$17.40,Crimson,0,2XL,used
False,a391be31b3ab065382da1345794e5d977030cb52,1:46 AM,$7.66,Pink,0,L,Used
False,6b818afa9dda670562952afcfe0e4f9d5c9faf65,8:14 PM,$7.33,Khaki,0,L,used
False,8a19cd2ecf0b3bec38c3c3d06105609ab154f505,5:28 AM,$13.49,Green,0,XS,never worn
False,5662e060c0b08432f09ff683cf048e36709c0f88,10:29 AM,$2.73,Goldenrod,0,3XL,used
False,45fe27fd6f852e23c83bf8c21367d9ac7f7a035c,2:45 AM,$3.53,Yellow,0,S,used
False,27fdec36a19144738a252e04e24902d339032068,12:44 PM,$10.14,Maroon,0,2XL,used
False,3dc940e8ef9f17f09faa3ab37bbbf2c4e1a093d7,1:30 AM,$9.10,Aquamarine,0,L,used
False,4ade7eecaeece504a03214511f610f7e7e4c2fa8,10:03 AM,$16.75,Yellow,0,3XL,used
False,a0fc4635176304a7b9050787696cada135d738ee,7:34 PM,$15.95,Red,0,S,Never Worn
False,695b95149b00e0b70d61fb99cf611027d753dcc6,9:19 AM,$3.53,Khaki,0,L,Never Worn
False,c492419145584e3cd452dbd529b2c6a9e6aaa24a,12:29 PM,$12.83,Maroon,0,XS,Never Worn
False,eae5236c4d00d36aa018c9d5b18954ca0174f832,6:12 PM,$14.19,Green,0,2XL,
False,ae10a7672152c1a4e39b9b805d8fb445aa6b210d,12:37 AM,$10.55,Fuscia,0,S,
False,9eeeccb1d8e1462549ab4710cf6640203fb77c29,2:25 AM,$7.67,Violet,0,3XL,Never Worn
False,f6001ef30166e3d6908f87b534722fd16fd2f476,11:54 PM,$16.58,Orange,0,XS,used
False,58dbac12e9d4795c0dbe6f626d9e7931e03502cd,1:07 AM,$13.97,Pink,0,M,used
False,6a7d10498b9426fa029c3d0ba07ce5a6a0aaec1b,2:23 AM,$13.98,Khaki,0,L,used
False,469492abb5af1eed4142fa3cc3fa1370c1b6b73b,11:05 PM,$6.79,Goldenrod,0,3XL,used
False,c37cbd73a8c04816217b97df8eb958114f2b9b14,10:43 PM,$17.45,Khaki,0,M,Used
False,dc4b3ec189a6339a83195216da2989fac30f813f,6:34 PM,$10.76,Purple,0,3XL,used
False,60431b47416f9ba3274cef271ac2e3c7da528e55,5:55 PM,$9.20,Aquamarine,0,2XL,used
False,1e3caf8311392fd15f0baaa6c4e7940d76e9167b,1:55 AM,$9.97,Maroon,0,XS,
False,f0e03e6a2f0db30d557a0c10cc6c66c4313643ec,8:22 PM,$16.85,Crimson,0,M,used
False,a4a0622d5b1f86fb5c3bfe2bb6a14cc1db7cc29a,5:16 PM,$12.19,Teal,0,XL,used
False,b53fb77bd803891c7d4baf26024076b483d6ce3b,5:11 AM,$10.14,Aquamarine,0,L,Used
False,fa964b3e973ccdf6c46ab1443b653064687a53f2,10:16 PM,$14.55,Green,0,2XL,Never Worn
False,89e79bb7d5402617da7ef5a76e5a219613629468,8:22 AM,$18.24,Mauv,0,M,Never Worn
False,6d42cad72a3556f333cec84a12bb0d10827a0df2,2:40 PM,$18.52,Turquoise,0,2XL,Never Worn
False,d3faf90b49a599b467994a75936135e22618151e,6:33 AM,$15.39,Pink,0,S,
False,316a671e0b5c1db26a078c965bb4c30a5eb38913,4:16 PM,$16.35,Yellow,0,2XL,
False,da16ab0775036f3d70656e336eafa48ead8dab64,2:09 AM,$11.81,Maroon,0,3XL,Used
False,489211f591941cd394b5454e85341ce3e91856a0,11:55 PM,$15.15,Mauv,0,3XL,Never Worn
False,11a7d18e7c0016ef20110a0a6964be46ac35d42c,6:42 PM,$10.43,Yellow,0,XS,used
False,738a58362bf5059e160636cefe861c86f2d07c79,9:43 PM,$5.65,Purple,0,XL,Never Worn
False,a4157a243f3587c8621b2aee1700d7110ffe945c,11:30 AM,$3.92,Fuscia,0,2XL,Never Worn
False,b771df7b77dafd057f060a987d678e79ed79e587,7:47 AM,$6.26,Yellow,0,3XL,used
False,52cee5a5d9e023c3d8fab0561b0324a1ccf05602,10:12 PM,$3.91,Goldenrod,0,3XL,used
False,50c0a6b318a8d57f58696b58131d45bd551b596b,7:34 AM,$3.45,Khaki,0,XS,used
False,7e0afff8db431c61247f1bdb6162ce5bd28b441f,10:10 PM,$7.31,Crimson,0,3XL,used
False,da0dfa72e7649033122180cedd291589b06fe775,7:35 AM,$6.63,Khaki,0,M,used
False,e95c03a88ca5ad9eaee13591cac7898b4e143ffe,6:32 AM,$17.44,Maroon,0,M,
False,4c892ee5a84662e3306f936df532752e6b16dc21,2:44 PM,$3.03,Indigo,0,2XL,never worn
False,5fb07afcf1f9d1c6c32d9c07b2ef97cb0447a2cc,3:25 AM,$17.98,Teal,0,S,Never Worn
False,42ebde0d053916a0da0c05b3ce3112a3e62855bd,11:18 PM,$5.59,Indigo,0,XS,used
False,d5f8627244fa1f497b4df422c87a321118ff9852,3:30 AM,$16.45,Pink,0,3XL,used
False,095028725a9510bdc693ac7c4107fe859dd65ddf,2:03 PM,$2.90,Maroon,0,S,used
False,41cc1175643a510f1d98a18fef8eab55d1a588ac,1:07 AM,$9.03,Turquoise,0,3XL,used
False,9173cfd358b4b0823a0cbf5f8b598149cbbbe01a,12:13 PM,$6.63,Teal,0,XL,Never Worn
False,a8767f606a7fe5aeb6d70afed9a46e6f9fd1558d,7:02 AM,$2.08,Mauv,0,XS,used
False,40287b881cd0db97c12a9c4c3175e676fb8946f6,5:44 PM,$18.69,Red,0,M,
False,0c577a7e708a8c1f2c0b420d01df9b860cedcec0,10:00 AM,$17.85,Violet,0,2XL,used
False,6493fc56895442e7e01c2c27d9239916d38a2196,3:05 PM,$18.10,Crimson,0,3XL,Never Worn
False,0d0a5cd3b002c734af97b30e951c9d9d7d5ad7b8,7:42 PM,$15.18,Red,0,2XL,
False,b6e24f22b43bd8a8abd4ffba08e9cbb9a418d013,4:08 PM,$10.27,Turquoise,0,XL,used
False,7277ef389a87f0965d5994ba90760d74a05291f0,1:25 AM,$12.89,Aquamarine,0,S,
False,d87b3b6068d914c975b99b3aee7fa6b82b7a70ef,2:23 AM,$10.87,Pink,0,XL,Never Worn
False,baa96d415bae3d6bc8a568c620b03f1e26018af5,12:56 AM,$8.02,Goldenrod,0,S,
False,116541486aa5bc8be638b349c63098a24069eb1b,6:00 PM,$5.17,Blue,0,XL,used
False,cff8293eb61dbe23a0dab057112f4f0416fa07d5,11:16 PM,$8.41,Orange,0,M,used
False,893f65207f84ffc7ce183f97591c0772b8eb4d4a,11:53 PM,$14.23,Red,0,XS,
False,454104e3f0c4d283dbd2c4d99a30bfe314cc870b,9:00 PM,$13.67,Crimson,0,XL,used
False,a4d17be3c34ff69715ea51d6458e70e8695bff37,12:28 AM,$2.36,Turquoise,0,XS,Never Worn
False,8f981815e78ca520c2544cc230fc0126b94b0b44,1:37 AM,$14.60,Turquoise,0,S,used
False,71244a4afdcc32e70821b65a99dc4a954289c39f,6:14 AM,$6.37,Khaki,0,XS,
False,9a4d5019ae50ced914513b5bc8aab815a03e0bb5,12:27 PM,$7.96,Yellow,0,M,Used
False,e96977611f085bbe0f8ef0289117a1af0bd84917,9:09 PM,$18.92,Pink,0,M,used
False,5ac34619084aa1a205029c3852b465dac1f11d40,11:12 AM,$11.91,Turquoise,0,M,
False,bab76ec3154a09266d6e4f09110a89a74ff046af,7:57 PM,$4.12,Goldenrod,0,M,Never Worn
False,7eaae9d021313d0798ad0b6514eef632863e80d5,10:29 AM,$5.07,Crimson,0,S,Never Worn
False,3fd2cb448a812fed1b51736e77952ba034b3322d,7:04 AM,$6.95,Teal,0,3XL,
False,c405b7a2cbc16d830d66d846b4b2e2da858211cd,8:00 PM,$12.08,Green,0,M,used
False,1bb3f26a1b96aba620c5b205e22e149e9abe8f70,1:07 PM,$4.45,Red,0,L,used
False,424b83203d57bf7396973f074cd1e823bb83f359,8:06 PM,$18.17,Aquamarine,0,M,never worn
False,e64c1e3d99a6623208cb50eb254fa5a3aade0c6d,10:20 PM,$7.46,Pink,0,S,Used
False,f9e0a1583f4292494420351ab9def217a5d5ab09,5:28 AM,$8.55,Maroon,0,M,used
False,ef1cb7537e11b9a79c4b6a2720f808993bc25b57,1:12 AM,$17.90,Fuscia,0,XL,used
False,f762a7001f59aa88e56cee592cb8f90397459b5a,6:47 PM,$15.82,Fuscia,0,L,
False,d2df79bf3847a858d667a230f8088b2027a755da,12:20 AM,$7.17,Indigo,0,S,used
False,f071673513fba352de08423046c6f866df35300d,9:41 AM,$18.34,Khaki,0,S,Never Worn
False,2732544ef78b7bcd03d661ca51e6645cd0cc6510,3:18 PM,$9.54,Violet,0,L,used
False,3b002d9978a3596752f35d4552a624e20a2c2a26,1:09 AM,$17.42,Yellow,0,L,used
False,be4f345f53c9f20f34369017680da6a15be4db43,5:14 PM,$3.69,Maroon,0,XS,used
False,162819b5723d170da921dd9378c0c6130d0f7ce1,11:15 PM,$17.05,Indigo,0,L,Used
False,903065c01e039a8994d28f313c2e3ee7c995a711,9:41 PM,$9.63,Green,0,3XL,Never Worn
False,f7248b5589d964771394b40791270908330088e2,6:39 AM,$16.95,Violet,0,S,Never Worn
False,b1af67bdf0f238eec89b6370f4c745c08b2a4df7,9:22 AM,$15.63,Teal,0,2XL,used
False,f00e1cc2502963b1c7b1296709ed541b97e61121,10:21 PM,$16.44,Crimson,0,M,used
False,d9346ea9ff0733e260c4dd65bac59d6a4b950c97,11:16 AM,$12.69,Crimson,0,M,used
False,c5471841c2633ce2d7800e81a31ded7a27f3deef,9:17 PM,$11.06,Blue,0,M,Never Worn
